ISIN,Ticker,Company,Weightage,Amount Invested
US0028241000,ABT,"Abbott Laboratories",3,17500
US79466L3024,CRM,"Salesforce.com",4,20000
US00287Y1091,ABBV,"AbbVie Inc.",5,20000
US1667641005,CVX,"Chevron Corp.",1,5000
US0311621009,AMGN,"Amgen Inc.",2,7800
US22160K1051,COST,"Costco Co.",6,8500
IE00B4BNMY34,ACN,"Accenture plc",9,12000
US65339F1012,NEE,"NextEra Energy",5,13000
US5324571083,LLY,"Eli Lilly and Co.",2,7800
US1101221083,BMY,"Bristol-Myers Squibb",7,19000
IE00BTN1Y115,MDT,"Medtronic Inc.",5,50000
US2358511028,DHR,"Danaher Corp.",3,7500
US7181721090,PM,"Philip Morris Int'l",4,10000
US8825081040,TXN,"Texas Instruments",1,17000
US9078181081,UNP,"Union Pacific",6,20000
US03027X1000,AMT,"American Tower Corp.",2,10000
US68389X1054,ORCL,"Oracle Corp.",7,15000
US1729674242,C,"Citigroup Inc.",1,5000
US4385161066,HON,"Honeywell Int'l Inc.",2,26000
US7475251036,QCOM,"Qualcomm, Inc.",10,28000
US9497461015,WFC,"Wells Fargo",4,50000
US88579Y1010,MMM,"3M Company",3,8000
US0970231058,BA,"Boeing Co.",1,7500
US8552441094,SBUX,"Starbucks Corp.",5,7800
US09247X1019,BLK,"BlackRock",2,10000
